playlist,added_at,artist_id,artist_name,track_id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,5MJ5f1XKD9yu7aWfG8OGjz,Mellow & Sleazy,2P22nuGMf26qeoX7P0oOuT,Halala (feat. Mellow & Sleazy),0.787,0.461,6,-10.682,0,0.0521,0.029,0.383,0.0493,0.292,112.007,498108,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,67MNhiAICFY6Pwc2YxCO0K,Elley Duhé,58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,0.41,0.611,4,-8.271,0,0.0467,0.0228,0,0.116,0.0899,185.727,184448,3
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),0.741,0.691,10,-7.395,0,0.0672,0.0221,0,0.0476,0.892,150.087,212353,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),0.741,0.691,10,-7.395,0,0.0672,0.0221,0,0.0476,0.892,150.087,212353,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,1HhNoOuqm1a5MXYEgAFl8o,Enemy (with JID) - from the series Arcane League of Legends,0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,0.555,77.011,173381,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,6U3ybJ9UHNKEdsH7ktGBZ7,JID,1HhNoOuqm1a5MXYEgAFl8o,Enemy (with JID) - from the series Arcane League of Legends,0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,0.555,77.011,173381,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,57nPqD7z62gDdq37US9XJR,Arcane,1HhNoOuqm1a5MXYEgAFl8o,Enemy (with JID) - from the series Arcane League of Legends,0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,0.555,77.011,173381,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,47mIJdHORyRerp4os813jD,League of Legends,1HhNoOuqm1a5MXYEgAFl8o,Enemy (with JID) - from the series Arcane League of Legends,0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,0.555,77.011,173381,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,3Oa0mJQWQrUOqJ8fcLuu7l,DBN Gogo,4X4NsxuVdB1ygIMbHuctBz,Bambelela,0.891,0.679,10,-7.998,0,0.0515,0.084,0,0.0324,0.472,112.015,396434,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,6k8odn7NzzTT4K3NBNtsfV,Felo Le Tee,4X4NsxuVdB1ygIMbHuctBz,Bambelela,0.891,0.679,10,-7.998,0,0.0515,0.084,0,0.0324,0.472,112.015,396434,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,6EG9v86LsCoq5HS4Jj1zCQ,Pabi Cooper,4X4NsxuVdB1ygIMbHuctBz,Bambelela,0.891,0.679,10,-7.998,0,0.0515,0.084,0,0.0324,0.472,112.015,396434,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,6WQFTzqYHmh8Ph2X0L0QLQ,Young Stunna,4X4NsxuVdB1ygIMbHuctBz,Bambelela,0.891,0.679,10,-7.998,0,0.0515,0.084,0,0.0324,0.472,112.015,396434,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,6k8odn7NzzTT4K3NBNtsfV,Felo Le Tee,3rDd1X68wGTaKYRATrcARb,Dipatje Tsa Felo (feat. Daliwonga),0.842,0.768,1,-8.658,1,0.0579,0.0124,1.62e-5,0.043,0.543,112.02,379286,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,6egY1uh8HjHy6TrD0qmQNN,Myztro,3rDd1X68wGTaKYRATrcARb,Dipatje Tsa Felo (feat. Daliwonga),0.842,0.768,1,-8.658,1,0.0579,0.0124,1.62e-5,0.043,0.543,112.02,379286,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,0oW137oXCLwA5b4uYRxvIn,Daliwonga,3rDd1X68wGTaKYRATrcARb,Dipatje Tsa Felo (feat. Daliwonga),0.842,0.768,1,-8.658,1,0.0579,0.0124,1.62e-5,0.043,0.543,112.02,379286,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,6fTEwufIDYGyAZjMJqxaW2,Venom,0Fts0ctd6WoZPjffe6VlCD,"Sondela (feat. Yumbs, Raspy, Blxckie, Riky Rick & Tshego)",0.564,0.346,9,-12.844,0,0.0648,0.209,8.4e-6,0.21,0.25,95.004,246822,4
