candidate,twitter_handle,date_tweet_created,tweet,rolling_mean_7_day
Ridwan Kamil,ridwankamil,2022-05-12,1,4.857142857142857
Ridwan Kamil,ridwankamil,2022-05-13,2,4.142857142857143
Ridwan Kamil,ridwankamil,2022-05-14,1,3.7142857142857144
Ridwan Kamil,ridwankamil,2022-05-15,1,3.7142857142857144
Ridwan Kamil,ridwankamil,2022-05-16,1,2.5714285714285716
Ridwan Kamil,ridwankamil,2022-05-17,3,2.2857142857142856
Ridwan Kamil,ridwankamil,2022-05-18,7,2.2857142857142856
Ridwan Kamil,ridwankamil,2022-05-20,3,2.5714285714285716
Ridwan Kamil,ridwankamil,2022-05-21,2,2.5714285714285716
Ridwan Kamil,ridwankamil,2022-05-23,5,3.142857142857143
Ridwan Kamil,ridwankamil,2022-05-24,2,3.2857142857142856
Ridwan Kamil,ridwankamil,2022-05-26,4,3.7142857142857144
Ridwan Kamil,ridwankamil,2022-05-30,1,3.4285714285714284
Ridwan Kamil,ridwankamil,2022-06-03,4,3
Ridwan Kamil,ridwankamil,2022-06-05,2,2.857142857142857
Ridwan Kamil,ridwankamil,2022-06-07,2,2.857142857142857
Ridwan Kamil,ridwankamil,2022-06-09,6,3
Ridwan Kamil,ridwankamil,2022-06-10,9,4
Ridwan Kamil,ridwankamil,2022-06-11,5,4.142857142857143
Ridwan Kamil,ridwankamil,2022-06-12,3,4.428571428571429
Ridwan Kamil,ridwankamil,2022-06-13,1,4
Ridwan Kamil,ridwankamil,2022-06-14,2,4
Ridwan Kamil,ridwankamil,2022-06-15,1,3.857142857142857
Ridwan Kamil,ridwankamil,2022-06-16,2,3.2857142857142856
Ridwan Kamil,ridwankamil,2022-06-18,1,2.142857142857143
Ridwan Kamil,ridwankamil,2022-06-19,1,1.5714285714285714
Ridwan Kamil,ridwankamil,2022-06-20,3,1.5714285714285714
Ridwan Kamil,ridwankamil,2022-06-21,6,2.2857142857142856
Ridwan Kamil,ridwankamil,2022-06-22,3,2.4285714285714284
Ridwan Kamil,ridwankamil,2022-06-23,1,2.4285714285714284
Ridwan Kamil,ridwankamil,2022-06-24,4,2.7142857142857144
Ridwan Kamil,ridwankamil,2022-06-25,2,2.857142857142857
Ridwan Kamil,ridwankamil,2022-06-26,3,3.142857142857143
Ridwan Kamil,ridwankamil,2022-06-27,9,4
Ridwan Kamil,ridwankamil,2022-06-28,2,3.4285714285714284
Ridwan Kamil,ridwankamil,2022-06-29,1,3.142857142857143
Ridwan Kamil,ridwankamil,2022-06-30,2,3.2857142857142856
Ridwan Kamil,ridwankamil,2022-07-01,6,3.5714285714285716
Ridwan Kamil,ridwankamil,2022-07-02,2,3.5714285714285716
Ridwan Kamil,ridwankamil,2022-07-03,2,3.4285714285714284
Ridwan Kamil,ridwankamil,2022-07-06,4,2.7142857142857144
Ridwan Kamil,ridwankamil,2022-07-07,3,2.857142857142857
Ridwan Kamil,ridwankamil,2022-07-08,1,2.857142857142857
Ridwan Kamil,ridwankamil,2022-07-10,2,2.857142857142857
Ridwan Kamil,ridwankamil,2022-07-12,5,2.7142857142857144
Ridwan Kamil,ridwankamil,2022-07-13,1,2.5714285714285716
Sandiaga Uno,sandiuno,2022-03-08,18,NA
Sandiaga Uno,sandiuno,2022-03-09,30,NA
Sandiaga Uno,sandiuno,2022-03-10,14,NA
Sandiaga Uno,sandiuno,2022-03-11,17,NA
